僲	亻 覀 舛
𤬿	圭 瓦 
𤭂	舟 瓦 
𤭈	兆 瓦 
𤭉	亡 巛 瓦 
𤭌	弟 瓦 
𤭍	瓦 白 八 
𤭑	吾 瓦 
𤭒	良 瓦 
𤭔	車 瓦 
𤭙	瓦 含 
𤭛	岡 瓦 
𤭜	𥝢 瓦 
𤭞	享 瓦 
𤭟	阜 瓦 
𤭠	臤 瓦 
𤭧	皆 瓦 
𤭩	声 厶 瓦 
𤭫	革 瓦 
𤭬	缸 瓦 
𤭰	秌 瓦 
𤭱	胡 瓦 
𤭴	枼 瓦 
𤭻	哥 瓦 
𤭼	𦐇 瓦 
𤭽	祟 瓦 
𤮆	虍 业 瓦 
𤮊	康 瓦 
𤮋	國 瓦 
𤮌	瓦 接 
𤮍	瓦 專 
𤮎	絫 瓦 
𤮏	黃 瓦 
𤮐	尊 瓦 
𤮕	敝 瓦 
𤮘	豋 瓦 
𤮙	䖒 瓦 
𤮚	雷 瓦 
𤮜	亶 瓦 
𤮧	盧 瓦 
𤮩	亯 从 干 瓦 
𤮪	㼱 灷 
𤮭	毚 瓦 
𤮯	崔 臼 瓦 
𤮰	巂 瓦 
𤮱	聶 瓦 
𤮳	瓦 雚 
𤮷	𩅸 瓦 
𤮸	𩆞 瓦 
𤮼	弋 甘 
𤮽	甘 干 
𤯄	甘 氏 
𤯇	甘 炎 
𤯌	麻 甘 
𤯐	甘 閻 
𤯖	乆 生 
𤯚	不 生 
𤯜	生 力 力 
𤯡	生 朿 
𤯥	如 生 
𤯷	舜 生 
𤯸	生 筋 
𤯻	生 蒙 
𤰂	生 襄 
𤰅	夂 用 
𤰈	𬜠 用 
𤰑	𠫓 口 月 凡 龷 用 
𤰙	九 田 
𤰚	九 田 
𤰝	田 巛 
𤰟	田 干 
𤰠	田 干 
𤰡	亡 田 
𤰦	田 乇 
𤰪	田 分 
𤰬	田 少 
𤰳	天 田 
𤱃	田 木 
𤱅	田 内 
𤱆	田 𠕀 
𤱇	父 田 
𤱋	甲 冄 
𤱌	田 且 
𤱍	田 皮 
𤱎	田 幼 
𤱐	田 疋 
𤱔	亠 田 么 
𤱛	田 禾 
𤱜	禾 田 
𤱝	田 𠆢 工 
𤱟	田 出 
𤱠	田 召 
𤱡	龴 田 也 
𤱣	冉 甲 
𤱧	田 朵 
𤱨	田 共 
𤱩	田 兆 
𤱴	田 乍 一 
𤱵	龹 田 
𤱷	田 劦 
𤱸	厶 水 田 
𤱹	𡿧 田 丁 
𤱺	共 田 
𤱽	甾 夫 
𤱾	甾 夬 
𤲉	田 大 日 
𤲑	甾 宁 
𤲓	田 來 
𤲕	田 侖 
𤲖	田 忝 
𤲗	臤 田 
𤲚	田 東 
𤲨	田 卷 
𤲩	田 炎 
𤲬	田 耎 
𤲭	田 木 田 
𤲰	甲 冒 
𤲸	兹 田 
𤲺	田 奚 
𤳂	田 秝 
𤳃	由 奚 
𤳊	甾 幷 
𤳎	田 責 
𤳓	列 異 
𤳕	粥 田 
𤳖	番 去 
𤳘	申 登 
𤳝	田 秝 刂 
𤳠	田 ⺊ 日 旬 
𤳤	甾 奚 
𤳥	田 田 林 
𤳦	畾 大 
𤳪	厭 田 
𤳭	田 田 龶 夗 
𤳯	甾 庶 
𤳴	田 田 可 可 
𤴀	田 田 堯 
𤴄	𤳳 大 
𤴍	疊 宁 
𤴒	𤳳 囘 鳥 
𤴓	一 龰 
𤴙	囪 疋 
𤴛	叀 龰 
𤴟	帶 疋 
𤴢	執 疋 
𤴣	辟 疋 
𤴥	疒 乙 
𤴦	疒 九 
𤴧	疒 乂 
𤴨	疒 又 
𤴪	疒 几 
𤴯	疒 丸 
𤴱	疒 乇 
𤴻	疒 犬 
𤴼	疒 欠 
𤴽	疒 今 
𤴾	疒 斤 
𤴿	疒 冄 
𤵀	疒 旡 
𤵂	疒 心 
𤵊	疒 屯 
𤵋	疒 𢆰 
𤵎	疒 𠂉 几 
𤵐	疒 勿 
𤵒	疒 文 
𤵘	疒 必 
𤵚	疒 㐌 
𤵛	疒 丕 
𤵝	疒 母 
𤵞	疒 𠆢 土 
𤵟	疒 𠬢 
𤵠	疒 卯 
𤵡	疒 乎 
𤵥	疒 禾 
𤵦	疒 札 
𤵬	疒 犮 
𤵭	疒 甲 
𤵮	疒 丿 火 
𤵯	疒 匕 𫶧 
𤵸	疒 夅 
𤵹	疒 吉 
𤵻	疒 兇 
𤵼	疒 向 
𤵽	疒 艾 
𤵾	疒 宅 
𤶀	疒 交 
𤶁	疒 老 
𤶈	疒 西 
𤶋	疒 色 
𤶓	疒 亠 日 
𤶕	疒 吞 
𤶖	疒 孚 
𤶘	疒 言 
𤶚	疒 圼 
𤶛	疒 邑 
𤶜	疒 壯 
𤶠	疒 余 
𤶤	疒 尔 又 
𤶧	疒 员 
𤶮	病 七 
𤶰	疒 一 血 
𤶱	疒 串 
𤶲	疒 呈 
𤶳	疒 告 
𤶴	疒 身 
𤷀	疒 尪 
𤷁	疒 不 土 
𤷂	疒 肥 
𤷃	疒 戔 
𤷄	疒 卷 
𤷅	疒 兒 
𤷆	疒 東 
𤷇	疒 或 
𤷉	疒 亟 
𤷌	疒 臤 
𤷍	疒 其 
𤷎	疒 阜 
𤷏	疒 㸒 
𤷑	疒 咎 
𤷒	疒 𤰞 
𤷓	疒 欣 
𤷔	疒 侖 
𤷕	疒 采 
𤷖	疒 夌 
𤷗	疒 㡀 
𤷘	疒 卓 
𤷙	疒 㝵 
𤷟	疒 拉 
𤷡	疒 虎 
𤷢	疒 具 
𤷤	疒 肴 
𤷦	疒 京 
𤷹	疒 心 及 
𤷻	疒 𡿺 
𤷼	疒 相 
𤷽	疒 卻 
𤷾	疒 匧 
𤷿	疒 突 
𤸀	疒 胥 
𤸁	疒 彖 
𤸃	疒 叜 
𤸅	疒 昬 
𤸆	疒 韋 
𤸈	疒 酋 
𤸉	疒 㒸 
𤸊	疒 怠 
𤸋	疒 界 
𤸎	疒 曷 
𤸏	疒 柰 
𤸑	疒 复 
𤸒	疒 禺 
𤸓	疒 致 
𤸖	疒 哀 
𤸗	疒 付 犬 
𤸡	疒 英 
𤸤	疒 食 
𤸦	疒 子 子 子 
𤸪	疒 挈 
𤸫	疒 員 
𤸬	疒 衰 
𤸮	疒 屑 
𤸯	疒 桑 
𤸱	疒 盍 
𤸲	疒 烝 
𤸳	疒 豈 
𤸴	疒 索 
𤸵	疒 尃 
𤸷	疒 君 巾 
𤸸	疒 益 
𤸹	疒 剡 
𤸻	疒 拏 
𤸼	疒 烏 
𤹇	疒 秮 
𤹈	疒 林 几 
𤹊	疒 少 虫 
𤹋	疒 禾 民 
𤹌	疒 師 
𤹐	疒 烈 
𤹜	疒 宮 
𤹝	疒 畢 
𤹞	疒 啇 
𤹡	疒 虘 
𤹢	疒 北 而 
𤹣	疒 虖 
𤹤	疒 𣳾 
𤹥	疒 殸 
𤹦	疒 啚 
𤹧	疒 心 皿 丁 
𤹨	疒 連 
𤹩	疒 奞 
𤹯	疒 恿 
𤹲	疒 共 田 
𤹴	痲 女 
𤹵	疒 專 
𤹷	疒 鳥 
𤹸	疒 ⺈ 田 心 
𤺀	疒 立 衣 
𤺃	疒 臯 
𤺄	疒 童 
𤺅	疒 𠭥 
𤺇	疒 徧 
𤺉	疒 為 
𤺊	疒 斯 
𤺌	疒 登 
𤺎	疒 舄 
𤺏	疒 番 
𤺐	疒 猲 
𤺓	疒 敝 
𤺔	疒 貰 
𤺕	疒 費 
𤺖	疒 閔 
𤺘	疒 亞 欠 
𤺪	疒 善 
𤺫	疒 惢 
𤺷	疒 極 
𤺺	疒 亶 
𤺻	疒 雋 
𤺼	疒 翏 力 
𤺾	疒 奧 
𤻂	疒 睪 
𤻃	疒 暑 
𤻄	疒 遂 
𤻅	疒 愛 
𤻆	疒 頑 
𤻇	疒 楚 
𤻌	疒 過 
𤻖	疒 鼻 
𤻘	疒 㥯 
𤻙	疒 蒦 
𤻜	疒 蓋 
𤻝	疒 寧 
𤻢	疒 医 几 口 又 
𤻤	疒 秝 止 
𤻦	疒 息 戈 
𤻱	疒 慮 
𤻲	疒 樂 
𤻶	疒 編 
𤻷	疒 盤 
𤻿	疒 既 木 
𤼀	疒 穌 
𤼁	疒 瞢 
𤼂	疒 憲 
𤼃	疒 龍 
𤼅	疒 器 
𤼋	疒 韱 
𤼌	疒 翼 
𤼍	痳 香 
𤼏	疒 歛 
𤼐	疒 雚 
𤼒	疒 巂 
𤼗	疒 鹿 足 
𤼘	疒 羸 
𤼙	疒 䜌 
𤼚	疒 蠆 
𤼜	痺 虫 虫 
𤼢	疒 歡 
𤼤	疒 𡚤 
𤼮	癶 爫 丂 
𤼵	𤼩 弓 
𤼶	登 力 
𤼺	癶 貝 殳 
𤽁	白 十 
𤽃	白 川 
𤽅	白 兀 
𤽉	白 分 
𤽊	白 比 
𤽌	白 巿 
𤽕	白 丶 兀 
𤽣	必 白 
𤽥	白 各 
𤽦	白 缶 
𤽯	白 寿 
𤽱	白 足 
𤽲	白 男 
𤽳	白 川 日 
𤽹	白 卑 
𤽺	白 彔 
𤽼	白 隹 
𤽿	白 念 
𤾀	白 龶 贝 
𤾄	昋 白 
𤾅	白 非 
𤾈	白 軍 
𤾉	白 昜 
𤾊	𢏚 白 
𤾑	白 一 䒑 甘 
𤾒	白 田 冗 
𤾕	竝 白 
𤾛	白 票 
𤾝	白 麻 
𤾠	白 單 
𤾢	白 登 
𤾣	白 菐 
𤾥	白 曾 
𤾦	白 𠷎 
𤾫	白 翟 
𤾬	白 蒙 
𤾭	皇 書 
𤾲	皇 白 本 
𤾵	白 弊 
𤾺	皇 單 
𤾿	夕 韭 白 兆 
𤿀	白 贊 
𤿄	白 巛 白 巛 白 巛 
𤿅	白 靈 
𤿆	皮 丁 
𤿇	皮 刀 
𤿈	勺 皮 
𤿋	皮 才 
𤿎	比 皮 
𤿏	內 皮 
𤿐	开 皮 
𤿑	尣 皮 
𤿒	皮 內 
𤿓	㐅 㐅 皮 
𤿕	民 皮 
𤿖	末 皮 
𤿗	皮 末 
𤿘	勹 口 皮 
𤿙	此 皮 
𤿚	且 皮 
𤿟	旬 皮 
𤿠	吉 皮 
𤿡	危 皮 
𤿣	山 干 皮 
𤿧	旱 皮 
𤿨	肖 皮 
𤿩	告 皮 
𤿫	兌 皮 
𤿭	皮 甫 
𤿳	臤 皮 
𤿴	彔 皮 
𤿵	叕 皮 
𤿶	典 皮 
𤿷	臽 皮 
𤿼	尚 皮 
𤿽	沓 皮 
𤿾	卑 皮 
𥀁	者 皮 
𥀂	封 皮 
𥀃	侯 皮 
𥀈	臿 皮 
𥀉	𠚏 皮 
𥀎	𣪊 皮 
𥀏	𰗣 皮 
𥀓	留 皮 
𥀔	鹿 皮 
𥀖	皮 𠀐 回 
𥀘	羽 皮 皮 
𥀙	肉 皮 皮 
𥀛	皮 曹 
𥀝	皮 宿 
𥀠	皮 貴 
𥀣	𦥯 皮 
𥀥	葛 皮 
𥀫	需 皮 
𥀬	厭 皮 
𥀭	皮 需 
𥀮	月 巛 囪 皮 
𥀰	巤 皮 
𥀱	廣 皮 
𥀲	皮 賣 
𥀵	盧 皮 
𥀹	繭 皮 
𥀺	䜌 皮 
𥀻	皷 戚 
𥀾	皷 嚮 
𥁁	工 皿 
𥁂	孑 皿 
𥁃	亡 皿 
𥁆	牙 皿 
𥁇	斗 皿 
𥁎	用 皿 
𥁐	台 皿 
𥁑	必 皿 
𥁒	幼 皿 
𥁕	囚 皿 
𥁟	列 皿 
𥁠	龹 皿 
𥁡	污 皿 
𥁢	乔 皿 
𥁮	攸 皿 
𥁯	足 皿 
𥁲	沙 皿 
𥁵	沖 皿 
𥁸	卷 皿 
𥁹	林 皿 
𥂁	𬐚 土 
𥂂	矛 𠚣 皿 
𥂃	𢓤 皿 
𥂋	涂 皿 
𥂒	厶 𦥔 皿 
𥂓	麻 皿 
𥂙	奞 皿 
𥂢	敖 皿 
𥂣	郭 皿 
𥂤	𦥑 古 皿 
𥂥	歺 戔 皿 
𥂦	敦 皿 
𥂧	酉 右 皿 
𥂨	羽 盒 
𥂰	酤 皿 
𥂵	𣸁 皿 
𥂸	楊 皿 
𥃀	亠 肉 㘝 皿 
𥃌	辛 來 皿 
𥃔	𦥑 水 臼 皿 
𥃕	壺 盍 
𥃟	殸 亼 吅 皿 
𥃠	魯 益 
𥃤	目 ⺃ 
𥃧	目 丩 
𥃨	目 卜 
𥃩	目 匕 
𥃪	目 十 
𥃫	目 又 
𥃮	入 目 
𥃯	目 几 
𥃰	亠 目 
𥃴	目 卂 
𥃵	目 凡 
𥃸	目 也 
𥃹	目 川 
𥃺	目 兀 
𥃽	目 工 
𥃾	目 土 
𥃿	目 工 
𥄁	𠃊 目 乂 
𥄇	氏 目 
𥄈	六 目 
𥄉	𠃊 目 巛 
𥄋	目 內 
𥄍	目 介 
𥄎	目 攴 
𥄑	目 夫 
𥄒	目 化 
𥄓	不 目 
𥄔	目 巿 
𥄕	卝 目 
𥄖	目 𰅭 
𥄗	目 㕚 
𥄘	八 ⺈ 目 
𥄛	目 予 
𥄜	目 𠫘 
𥄝	目 一 山 
𥄢	目 木 
𥄦	目 亢 
𥄱	弗 目 
𥄲	⺫ 目 
𥄴	目 穴 
𥄵	目 术 
𥄶	目 司 
𥄷	目 巨 
𥄸	目 卯 
𥄹	目 包 
𥄻	目 它 
𥄼	目 瓜 
𥄿	目 𡰥 
𥅁	目 乍 
𥅄	奴 目 
𥅑	目 㠯 
𥅒	目 𠙻 
𥅓	目 㐌 
𥅔	目 丘 
𥅗	目 皮 
𥅘	目 尔 
𥅞	目 式 
𥅟	目 交 
𥅠	目 后 
𥅡	目 而 
𥅦	目 耒 
𥅧	目 血 
𥅨	目 亘 
𥅪	目 收 
𥅬	目 勹 云 
𥅴	目 夹 
𥅵	止 八 目 
𥅷	少 亠 目 
𥅺	目 色 
𥅻	目 充 
𥅽	合 目 
𥆅	吉 目 
𥆆	目 𠫔 𫶧 
𥆌	目 角 
𥆑	目 廷 
𥆔	目 孝 
𥆖	目 豆 
𥆘	目 貝 
𥆙	目 尨 
𥆚	目 汪 
𥆛	役 目 
𥆜	目 往 
𥆝	沙 目 
𥆟	目 兌 
𥆡	目 含 
𥆣	䀠 又 
𥆥	目 走 
𥆦	目 兀 王 
𥆧	目 闰 
𥆯	目 坒 
𥆲	目 𡵶 
𥆳	𠦑 目 
𥆶	目 义 手 
𥆸	目 女 夬 
𥇄	目 又 目 
𥇆	目 𠃊 米 
𥇇	目 沙 
𥇉	目 羌 
𥇌	目 臽 
𥇍	目 卓 
𥇎	目 弓 尔 
𥇏	目 炅 
𥇑	目 兩 
𥇒	目 妾 
𥇓	目 定 
𥇔	目 長 
𥇕	目 制 
𥇖	非 目 
𥇗	目 尸 由 
𥇘	目 囷 
𥇙	或 目 
𥇚	目 奇 
𥇛	大 䀠 
𥇜	目 享 
𥇞	目 占 土 
𥇟	目 効 
𥇠	夂 䀠 
𥇢	目 斩 
𥇭	目 知 
𥇯	目 勿 勿 
𥇰	目 忽 
𥇱	目 𣏋 
𥇲	波 目 
𥇳	目 帚 
𥇿	目 或 
𥈂	目 亟 
𥈄	巷 目 
𥈆	目 冒 
𥈇	目 耎 
𥈈	目 句 灬 
𥈉	目 奐 
𥈊	目 臿 
𥈋	目 禹 
𥈏	䀠 夭 
𥈑	目 矦 
𥈒	目 𢇂 
𥈓	目 咼 
𥈕	目 㿽 
𥈖	目 羍 
𥈗	目 頁 
𥈙	目 剌 
𥈚	目 辶 庂 
𥈛	目 六 目 
𥈟	目 叜 
𥈬	目 禺 
𥈻	目 共 土 
𥈼	般 目 
𥈽	𡨄 目 
𥈾	目 窅 
𥈿	目 貢 
𥉀	目 𥄳 
𥉁	䀠 夰 
𥉃	能 目 
𥉄	目 骨 
𥉅	目 鬲 
𥉆	上 示 又 目 
𥉇	目 冓 
𥉈	目 脩 
𥉊	目 馬 
𥉋	目 𣳾 
𥉌	目 荅 
𥉐	目 奚 
𥉑	目 隺 
𥉒	目 臬 
𥉓	目 𥁑 
𥉔	耿 目 
𥉕	目 冡 
𥉖	目 恚 
𥉙	目 耆 
𥉜	目 秦 
𥉝	目 𠁁 
𥉟	目 般 
𥉰	目 舀 
𥉳	目 留 
𥉴	目 密 
𥉵	麻 目 
𥉶	目 鹿 
𥉷	目 戚 
𥉸	目 堅 
𥉺	目 窒 
𥉻	目 祭 
𥉼	目 梟 
𥉽	目 康 
𥉾	目 翏 
𥉿	目 不 見 
𥊀	目 參 
𥊇	臣 𠂉 二 目 
𥊈	目 梨 
𥊉	目 穴 合 
𥊊	目 卉 八 𠆢 十 
𥊌	目 剿 
𥊑	目 曼 
𥊒	目 逢 
𥊓	目 產 
𥊔	目 商 
𥊧	殸 目 
𥊪	目 爲 
𥊫	目 貫 
𥊬	目 戢 
𥊭	目 尊 
𥊮	目 畫 
𥊯	目 絜 
𥊴	目 最 
𥊶	目 然 
𥊸	目 𢛳 
𥊽	𥄳 弟 
𥊾	工 目 頁 
𥊿	䀠 ⺫ 又 
𥋁	䀠 冖 电 
𥋌	目 散 
𥋎	目 睂 
𥋙	目 業 
𥋚	卝 ⺫ 戈 目 
𥋛	目 蜀 
𥋜	眉 穴 八 又 
𥋝	目 黽 
𥋟	目 義 
𥋡	䀠 冖 弜 
𥋣	目 賈 
𥋤	尚 甘 目 
𥋥	䀠 兔 
𥋿	目 赫 
𥌀	目 察 
𥌁	目 㬎 
𥌂	䀠 穴 方 
𥌃	目 爾 
𥌅	厭 目 
𥌆	目 壽 
𥌈	目 監 
𥌊	辡 目 
𥌍	目 六 隻 
𥌏	眉 冥 
𥌐	目 留 心 
𥌚	目 賣 
𥌛	目 黎 
𥌞	目 樊 
𥌟	上 矢 余 目 
𥌤	目 𨽻 
𥌨	目 頪 
𥌩	目 德 
𥌪	目 𥈜 
𥌮	目 歷 
𥌰	目 遺 
𥌺	目 龠 
𥌻	目 闌 
𥌼	目 霝 
𥌽	目 嬰 
𥌾	目 應 
𥌿	目 隸 
𥍀	目 韱 
𥍁	歸 目 
𥍅	入 入 龷 龷 𠆢 盰 
𥍆	目 燮 
𥍉	目 聶 
𥍋	目 巂 
𥍓	目 嚴 
𥍔	目 纍 
𥍚	目 變 
𥍝	矛 一 
𥍞	矛 刃 
𥍟	矛 殳 
𥍣	矛 号 
𥍨	矛 危 
𥍪	矛 豸 
𥍫	矛 良 
𥍬	矛 夋 
𥍭	矛 折 
𥍮	矛 夆 
𥍱	矛 告 
𥍲	柔 內 
𥍳	柔 丑 
𥍴	矛 易 
𥍷	矛 怱 
𥍸	矛 施 
𥍹	矛 建 
𥍺	矛 㚇 
𥍻	矛 匽 
𥍼	矛 英 
𥎀	矛 頁 
𥎂	矛 茸 
𥎃	矛 氣 
𥎅	矛 𥄳 
𥎆	矛 害 
𥎈	矛 夂 酉 
𥎊	矛 堇 
𥎍	矛 責 
𥎎	矛 解 
𥎐	矞 出 
𥎑	矛 朁 
𥎒	矛 明 心 
𥎓	矛 豊 
𥎔	矛 豕 虫 
𥎕	矞 戍 
𥎖	矛 爾 
𥎗	矛 與 
𥎘	矛 需 
𥎛	矛 匱 
𥎜	矞 小 天 
𥎟	矛 攵 章 
𥎡	矛 瞿 
𥎢	矛 木 冖 林 灬 
𥎣	矛 竄 
𥎤	矛 爨 
𥏈	⺇ 𢆰 矢 
𥏊	矢 羽 
𥏎	矢 廷 
𥏒	矢 吾 
𥏓	矢 㫒 
𥏕	矢 宏 
𥏖	矢 矣 
𥏘	矢 屈 
𥏙	矢 卷 
𥏜	矢 奇 
𥏝	矢 亞 
𥏠	矢 卑 
𥏤	矢 𡘆 
𥏥	矢 卓 
𥏨	矢 周 
𥏪	矢 皆 
𥏫	矢 昜 
𥏮	矢 音 
𥏯	知 早 
𥏷	土 白 匕 矢 
𥏹	矢 高 
𥐀	矢 斯 
𥐁	矢 菐 
𥐂	上 矢 禺 
𥐊	矢 敫 
𥐑	矢 嬰 
𥐓	矢 雚 
𥐕	石 ⺃ 
𥐘	厂 二 口 
𥑈	石 广 丁 
𥑋	石 圣 
𥑎	石 冋 
𥑏	石 史 
𥑐	石 甲 
𥑑	石 幼 
𥑒	石 尒 
𥑔	石 瓜 
𥑡	石 术 
𥑢	石 布 
𥑣	石 厂 𭅲 
𥑥	石 生 
𥑩	石 𠬦 
𥑫	石 穴 
𥑰	石 左 
𥑱	工 刀 石 
𥑳	石 戎 
𥑴	石 衣 
𥑵	石 𠂤 
𥑶	石 耒 
𥑸	石 舟 
𥑹	石 夸 
𥑺	石 屰 
𥑻	石 先 
𥑼	伐 石 
𥑽	石 𠂆 巴 
𥑾	石 卉 
𥑿	石 有 
𥒀	石 汙 
𥒁	石 州 
𥒓	石 至 
𥒗	石 爫 厶 
𥒘	石 旬 
𥒛	石 𱍸 𠫔 
𥒞	石 羊 
𥒡	石 丞 
𥒢	石 刕 
𥒥	石 多 
𥒧	石 又 龰 
𥒨	石 𠇍 
𥒫	石 孚 
𥒬	石 宋 
𥒭	石 足 
𥒮	石 尾 
𥒰	石 甫 
𥒱	石 形 
𥒲	石 矣 
𥒳	宕 亢 
𥒵	石 邑 
𥒶	石 系 
𥒾	石 吾 
𥓃	石 夂 木 
𥓆	石 又 石 
𥓇	夕 止 石 
𥓈	石 卉 十 
𥓌	石 羌 
𥓍	叔 石 
𥓐	石 疌 
𥓑	石 剎 
𥓒	石 臽 
𥓓	石 𤰞 
𥓖	石 杲 
𥓬	到 石 
𥓭	石 阜 
𥓰	石 穹 
𥓻	石 㚇 
𥓾	石 臿 
𥔀	石 訇 
𥔁	石 畐 
𥔂	石 恆 
𥔇	石 㚚 
𥔊	石 己 至 
𥔑	石 叜 
𥔡	石 香 
𥔢	石 臾 
𥔣	石 姜 
𥔩	砍 石 
𥔪	石 厽 川 
𥔮	石 虔 
𥔯	石 迴 
𥔱	石 扇 
𥔻	神 石 
𥔽	石 荅 
𥕀	石 翁 
𥕁	石 斊 
𥕂	石 脊 
𥕇	石 匚 山 龱 
𥕉	石 厝 
𥕍	石 婁 
𥕎	石 康 
𥕏	石 國 
𥕐	石 啇 
𥕑	石 虘 
𥕓	石 莫 
𥕕	石 虖 
𥕖	石 郭 
𥕘	石 巢 
𥕙	石 丶 生 石 
𥕣	石 得 
𥕦	石 袞 
𥕰	石 虛 
𥕱	石 彭 
𥕲	石 厥 
𥕵	石 敢 
𥕶	石 斯 
𥕸	石 最 
𥕹	石 毳 
𥕻	石 無 
𥕼	石 酓 
𥕽	彭 石 
𥕾	石 艹 一 㡀 
𥕿	番 石 
𥖄	石 羡 
𥖍	溂 石 
𥖗	𰚃 石 
𥖘	石 戡 
𥖙	石 戢 
𥖜	石 禁 
𥖝	石 廉 
𥖞	貇 石 
𥖠	石 蜀 
𥖪	石 蒦 
𥖫	皷 石 
𥖬	石 凴 
𥖵	石 㥯 
𥖶	石 賔 
𥖻	石 數 
𥖼	石 慮 
𥖾	石 適 
𥖿	石 賣 
𥗀	石 蓼 
𥗁	石 箸 
𥗊	石 齒 
𥗒	石 親 
𥗓	石 賴 
𥗙	石 學 
𥗚	殸 必 石 
𥗝	石 襄 
𥗟	石 謈 
𥗦	石 鍾 
𥗫	石 瞿 
𥗬	石 壘 
𥗭	石 雜 
𥗮	石 闕 
𥗵	石 礜 
𥗶	香 鬼 石 
𥗺	石 蘭 
𥗽	石 覽 
𥗿	石 𡿏 
𥘁	石 蘿 
𥘄	石 鬱 
𥘊	示 丩 
𥘋	示 力 
𥘌	示 几 
𥘏	示 干 
𥘑	示 寸 
𥘒	示 弋 
𥘠	示 卄 一 
𥘡	示 互 
𥘤	示 少 
𥘥	示 升 
𥘦	示 攵 
𥘫	示 可 
𥘬	示 弗 
𥘮	示 句 
𥙀	示 左 
𥙁	示 㐌 
𥙆	示 玄 
𥙇	示 它 
𥙉	示 台 
𥙋	示 出 
𥙎	示 𠂢 
𥙡	示 𠂉 丹 
𥙣	示 旬 
𥙦	如 示 
𥙨	示 朵 
𥙫	示 酉 
𥙬	示 肖 
𥙰	示 气 土 
𥙾	示 秀 
𥙿	示 谷 
𥚂	示 夋 
𥚉	示 甾 
𥚊	示 坴 
𥚚	示 虎 
𥚛	示 昆 
𥚟	示 𰃦 古 
𥚠	示 享 
𥚦	示 矦 
𥚩	示 胥 
𥚾	示 㚇 
𥚿	示 龹 女 
𥛂	示 右 月 
𥛅	示 留 
𥛑	示 辱 
𥛘	示 畢 
𥛚	示 啇 
𥛜	示 虘 
𥛝	示 逢 
𥛞	示 鹿 
𥛟	示 覓 
𥛥	示 專 
𥛧	示 累 
𥛨	示 徙 
𥛩	示 庾 
𥛪	示 𢉖 
𥛫	示 梁 
𥛯	示 矞 
𥛰	示 尞 
𥛱	彭 示 
𥛽	示 畱 
𥜃	示 睪 
𥜄	糸 弓 攵 示 
𥜌	示 奧 
𥜏	示 日 冖 夕 灬 
𥜐	示 黽 
𥜒	示 厭 
𥜓	示 監 
𥜖	束 矣 示 
𥜙	漸 示 
𥜚	示 憂 
𥜥	示 冀 
𥜦	示 壐 
𥜬	示 爾 王 
𥜭	示 亯 凵 口 口 丨 
𥜮	示 麏 
𥜰	示 麗 
𥜲	示 繭 
𥜴	示 騫 
𥜵	示 矍 
𥜶	示 夔 
𥝀	禹 也 
𥝂	禺 厄 
𥝄	丱 龱 禸 
𥝊	𦥯 禹 
𥝋	𦥑 𦥑 囟 禸 
𥝍	禾 一 
𥝑	禾 丂 
𥝒	禾 卜 
𥝔	禾 孑 
𥝕	禾 亡 
𥝖	禾 乞 
𥝘	禾 夕 
𥝟	禾 土 
𥝠	禾 么 
𥝢	禾 𠚣 
𥝥	禾 及 
𥝦	禾 丑 
𥝧	禾 巴 
𥝨	禾 仒 
𥝩	爫 禾 
𥝮	禾 𢆰 
𥝸	禾 水 
𥝹	禾 斤 
𥝾	禾 厂 乇 
𥝿	禾 加 
𥞁	禾 申 
𥞃	禾 出 
𥞄	禾 片 
𥞅	禾 此 
𥞊	禾 未 
𥞍	禾 可 
𥞎	禾 布 
𥞏	禾 兄 
𥞑	禾 市 
𥞒	禾 它 
𥞘	禾 存 
𥞚	禾 如 
𥞛	禾 朵 
𥞜	禾 夅 
𥞥	列 禾 
𥞧	禾 行 
𥞩	禾 并 
𥞪	禾 米 
𥞯	禾 丶 平 
𥞲	禾 別 
𥞴	禾 告 
𥞵	禾 夾 
𥞺	禾 足 
𥞼	禾 夂 月 
𥟍	禾 非 
𥟎	禾 劵 
𥟒	禾 叕 
𥟓	禾 官 
𥟔	禾 𣅳 
𥟕	禾 芡 
𥟗	禾 畁 
𥟘	禾 易 
𥟚	禾 必 土 
𥟪	禾 芼 
𥟶	禾 宛 
𥟽	禾 屋 
𥟾	禾 苦 
𥟿	多 委 
𥠀	禾 星 
𥠁	禾 咼 
𥠃	禾 幽 
𥠄	禾 耑 
𥠅	禾 奐 
𥠈	禾 即 
𥠉	禾 則 
𥠊	禾 柔 
𥠋	禾 咠 
𥠍	禾 不 生 
𥠛	禾 丙 攵 
𥠜	禾 昜 
𥠡	禾 怱 
𥠩	禾 𠫵 
𥠲	禾 栗 
𥠳	禾 骨 
𥠴	禾 鬯 
𥠶	禾 匪 
𥠷	禾 留 
𥠹	禾 桀 
𥠺	禾 𥁕 
𥠽	禾 致 
𥡀	弗 秝 
𥡁	秘 尒 
𥡃	禾 荒 
𥡅	禾 皋 
𥡒	禾 斊 
𥡜	禾 累 
𥡟	禾 舂 
𥡠	禾 爽 
𥡢	禾 率 
𥡣	禾 堇 
𥡤	禾 酉 灬 
𥡦	禾 啇 
𥡧	禾 虘 
𥡪	禾 翌 
𥡬	禾 從 
𥡭	垂 委 
𥡮	𥞤 加 
𥡴	禾 尤 上 日 
